NAME  PROPERTY                      VALUE                         SOURCE
tank  type                          filesystem                    -
tank  creation                      Sun Oct  5  8:37 2014         -
tank  used                          10.7T                         -
tank  available                     5.55T                         -
tank  referenced                    4.05T                         -
tank  compressratio                 1.08x                         -
tank  mounted                       yes                           -
tank  quota                         none                          default
tank  reservation                   none                          default
tank  recordsize                    128K                          default
tank  mountpoint                    /mnt/tank                     default
tank  sharenfs                      off                           default
tank  checksum                      on                            default
tank  compression                   lz4                           local
tank  atime                         off                           local
tank  devices                       on                            default
tank  exec                          on                            default
tank  setuid                        on                            default
tank  readonly                      off                           default
tank  jailed                        off                           default
tank  snapdir                       hidden                        default
tank  aclmode                       passthrough                   local
tank  aclinherit                    passthrough                   local
tank  canmount                      on                            default
tank  xattr                         off                           temporary
tank  copies                        1                             default
tank  version                       5                             -
tank  utf8only                      off                           -
tank  normalization                 none                          -
tank  casesensitivity               sensitive                     -
tank  vscan                         off                           default
tank  nbmand                        off                           default
tank  sharesmb                      off                           default
tank  refquota                      none                          default
tank  refreservation                none                          default
tank  primarycache                  all                           default
tank  secondarycache                all                           default
tank  usedbysnapshots               0                             -
tank  usedbydataset                 4.05T                         -
tank  usedbychildren                6.70T                         -
tank  usedbyrefreservation          0                             -
tank  logbias                       latency                       default
tank  dedup                         off                           default
tank  mlslabel                                                    -
tank  sync                          standard                      default
tank  refcompressratio              1.01x                         -
tank  written                       4.05T                         -
tank  logicalused                   5.41T                         -
tank  logicalreferenced             4.09T                         -
tank  volmode                       default                       default
tank  filesystem_limit              none                          default
tank  snapshot_limit                none                          default
tank  filesystem_count              none                          default
tank  snapshot_count                none                          default
tank  redundant_metadata            all                           default
tank  org.freebsd.ioc:active        yes                           local
tank  org.freenas:permissions_type  PERM                          local
